0	0
200	20500
400	81000
600	181500
800	322000
1000	502500
1200	723000
1400	983500
1600	1284000
1800	1624500
2000	2005000
2200	2425500
2400	2886000
2600	3386500
2800	3927000
3000	4507500
3200	5128000
3400	5788500
3600	6489000
3800	7229500
4000	8010000
4200	8830500
4400	9691000
4600	10591500
4800	11532000
5000	12512500
5200	13533000
5400	14593500
5600	15694000
5800	16834500
6000	18015000
6200	19235500
6400	20496000
6600	21796500
6800	23137000
7000	24517500
7200	25938000
7400	27398500
7600	28899000
7800	30439500
8000	32020000
8200	33640500
8400	35301000
8600	37001500
8800	38742000
9000	40522500
9200	42343000
9400	44203500
9600	46104000
9800	48044500
10000	50025000
10200	52045500
10400	54106000
10600	56206500
10800	58347000
11000	60527500
11200	62748000
11400	65008500
11600	67309000
11800	69649500
12000	72030000
12200	74450500
12400	76911000
12600	79411500
12800	81952000
13000	84532500
13200	87153000
13400	89813500
13600	92514000
13800	95254500
14000	98035000
14200	100855500
14400	103716000
14600	106616500
14800	109557000
15000	112537500
15200	115558000
15400	118618500
15600	121719000
15800	124859500
16000	128040000
16200	131260500
16400	134521000
16600	137821500
16800	141162000
17000	144542500
17200	147963000
17400	151423500
17600	154924000
17800	158464500
18000	162045000
18200	165665500
18400	169326000
18600	173026500
18800	176767000
19000	180547500
19200	184368000
19400	188228500
19600	192129000
19800	196069500
20000	200050000
20200	204070500
20400	208131000
20600	212231500
20800	216372000
21000	220552500
21200	224773000
21400	229033500
21600	233334000
21800	237674500
22000	242055000
22200	246475500
22400	250936000
22600	255436500
22800	259977000
23000	264557500
23200	269178000
23400	273838500
23600	278539000
23800	283279500
24000	288060000
24200	292880500
24400	297741000
24600	302641500
24800	307582000
25000	312562500
25200	317583000
25400	322643500
25600	327744000
25800	332884500
26000	338065000
26200	343285500
26400	348546000
26600	353846500
26800	359187000
27000	364567500
27200	369988000
27400	375448500
27600	380949000
27800	386489500
28000	392070000
28200	397690500
28400	403351000
28600	409051500
28800	414792000
29000	420572500
29200	426393000
29400	432253500
29600	438154000
29800	444094500
30000	450075000
30200	456095500
30400	462156000
30600	468256500
30800	474397000
31000	480577500
31200	486798000
31400	493058500
31600	499359000
31800	505699500
32000	512080000
32200	518500500
32400	524961000
32600	531461500
32800	538002000
33000	544582500
33200	551203000
33400	557863500
33600	564564000
33800	571304500
34000	578085000
34200	584905500
34400	591766000
34600	598666500
34800	605607000
35000	612587500
35200	619608000
35400	626668500
35600	633769000
35800	640909500
36000	648090000
36200	655310500
36400	662571000
36600	669871500
36800	677212000
37000	684592500
37200	692013000
37400	699473500
37600	706974000
37800	714514500
38000	722095000
38200	729715500
38400	737376000
38600	745076500
38800	752817000
39000	760597500
39200	768418000
39400	776278500
39600	784179000
39800	792119500
40000	800100000
